size,count
3870,1
3888,1
3893,1
3898,1
3901,1
3905,1
3921,1
3943,1
3949,1
3993,1
4005,1
4021,1
4022,1
4024,1
4025,1
4036,1
4041,2
4049,1
4073,1
4115,1
4122,1
4146,1
4161,1
4218,1
4223,1
4243,1
4258,1
4259,1
4272,1
4295,1
4301,1
4311,1
4313,1
4318,1
4329,1
4347,1
4348,1
4358,2
4384,1
4399,1
4428,1
4434,1
4443,1
4447,1
4459,1
4479,1
4503,1
4516,1
4534,1
4552,1
4573,1
4605,1
4620,1
4629,1
4664,1
4686,1
4691,1
4762,2
4793,1
4835,1
4840,1
4854,1
4859,1
4891,1
4903,1
4926,1
4952,1
4959,1
4972,1
4981,1
5012,1
5015,1
5020,1
5036,1
5042,1
5048,1
5082,1
5086,1
5091,1
5108,1
5118,1
5143,1
5190,1
5205,1
5246,1
5353,1
5355,1
5366,1
5390,1
5401,1
5431,1
5441,1
5458,1
5473,1
5691,1
5715,1
5724,1
5728,1
5758,1
5789,1
5817,1
5898,1
5906,1
5907,1
5915,1
5930,1
5950,1
5951,1
5968,1
5982,1
5995,1
6035,1
6073,1
6099,1
6152,1
6175,1
6176,1
6209,1
6297,1
6316,1
6323,1
6331,1
6362,1
6388,1
6428,1
6518,1
6554,1
6609,1
6632,1
6641,1
6681,1
6690,1
6767,1
6785,1
6795,1
6806,1
6813,1
6864,1
6909,1
6919,1
6934,1
7001,1
7006,1
7039,1
7082,1
7086,1
7126,1
7146,1
7155,1
7252,1
7360,1
7388,1
7393,1
7445,1
7516,1
7553,1
7733,1
7760,1
7808,1
7823,1
7908,1
7926,1
7962,1
8020,1
8030,1
8192,1
8435,1
8440,1
8667,1
8892,1
8975,1
9133,1
9142,1
9191,1
9283,1
9306,1
9364,1
9425,1
9480,1
9527,1
9579,1
9666,1
9686,1
9975,1
10142,1
10149,1
10164,1
10354,1
10604,1
10656,1
10728,1
10752,1
10757,1
10798,1
10911,1
10938,1
11047,1
11173,1
11375,1
11482,1
11811,1
11859,1
11972,1
12244,1
12266,1
12458,1
13087,1
13399,1
13412,1
13573,1
13629,1
13642,1
13748,1
13749,1
14589,1
14648,1
14911,1
14949,1
15095,1
15268,1
16531,1
16585,1
16781,1
17365,1
17970,1
17989,1
18024,1
18118,1
18270,1
19081,1
19250,1
19548,1
19836,1
20343,1
20908,1
20960,1
20987,1
21129,1
21268,1
21850,1
22138,1
23566,1
24360,1
24608,1
26647,1
27576,1
27639,1
30932,1
34594,1
36930,1
39663,1
39916,1
39983,1
40955,1
42100,1
43687,1
50382,1
52493,1
58729,1
60194,1
63314,1
73338,1
75627,1
77358,1
78710,1
85721,1
86007,1
90958,1
134742,1
136021,1
152843,1
