age,mean_size,sd_size,n
418,17.4348,132.0786,92
419,8.1549,51.5513,71
420,2.8525,5.0723,61
421,27.4444,210.7289,126
422,38.6143,376.9203,140
423,3.0444,8.2873,45
424,7.283,26.3609,53
425,47.8261,283.9585,46
426,3.2857,6.7597,28
427,10.2165,38.4424,97
428,7.177,26.3897,113
429,6.9556,19.9724,90
430,2.6923,9.4722,78
431,52.1935,234.8427,93
432,3.5393,9.5156,89
433,2.8082,6.5206,73
434,8.2634,62.4199,186
435,9.8952,46.4186,105
436,1.2222,0.9428,18
437,2,2.838,38
438,2.4824,12.671,483
439,3.8537,11.3715,82
440,2.6441,7.4989,59
441,20.2083,135.1095,96
442,9.8736,68.274,87
443,3.6218,9.3337,119
444,4.5276,15.9247,163
445,7.6735,61.0267,147
446,15.6279,78.4166,172
447,5.2667,27.4305,120
448,14.1795,146.854,156
449,4.4595,9.3767,37
450,6.1518,39.039,112
451,4.5402,15.0625,87
452,5.9811,18.8811,106
453,20.3394,157.0213,109
454,7.1181,43.9147,127
455,5.0989,22.3219,91
456,36.4025,456.317,241
457,1.85,4.1368,60
458,15.4962,101.7451,133
459,1.6,1.818,20
460,2.1235,8.1001,162
461,3.3529,6.6598,51
462,56.5402,308.9262,87
463,2.38,4.1052,50
464,11.6091,93.8079,110
465,26.8788,208.2424,66
466,2.6667,5.0791,57
467,1.2857,1.3628,35
468,14.2441,81.4831,127
469,7.0792,30.503,101
470,1.0263,0.1622,38
471,2.08,5.4,25
472,23.5294,149.6196,51
473,4.5214,16.9185,140
474,1.8617,4.0814,94
475,1.4894,2.1046,47
476,1.2388,1.0164,67
477,28.0984,198.2648,61
478,1.8478,2.5558,46
479,3.3385,10.484,65
480,1.6228,3.2707,114
481,2.6809,4.9699,47
482,5.1508,21.3366,126
483,11.3529,58.1807,51
484,4.0278,13.1038,108
485,1.5556,3.6737,459
486,1.2632,1.3956,114
487,5.9359,31.249,78
488,2.25,8.0213,80
489,9.0769,68.3392,91
490,7.4219,31.8901,64
491,3.0709,11.8549,141
492,1,0,18
493,3.9333,10.9095,45
494,2.4,5.1496,45
495,12.6885,88.0535,61
496,4.7051,24.6614,78
497,8,34.504,104
498,43.5,306.226,68
499,2.4407,11.0661,59
500,1.5758,3.6419,66
501,1.0714,0.359,98
502,3.3218,17.0202,87
503,1.7097,2.4385,31
504,14.6875,85.8949,64
505,2.2063,8.3341,63
506,2.4921,10.2263,63
507,3.2708,12.7459,48
508,3.34,10.532,50
509,11.02,83.5439,100
510,1.225,1.2707,40
511,20.9474,85.0264,19
512,1,0,36
513,2.3214,12.0126,168
514,1.36,1.4399,25
515,2.4474,6.4008,76
516,1.7857,1.5281,14
517,1.381,3.3828,84
518,3.7917,18.3233,48
519,1.7419,3.3629,62
520,2.1277,7.4879,141
521,1.2667,2.0656,60
522,2.1571,5.5837,70
523,1.5294,2.6984,102
524,1.0946,0.5278,74
525,2.4762,6.5393,21
526,1.3898,2.1996000000000002,118
527,1.7922,3.5368,77
528,3.4902,15.4847,51
529,2.383,5.4794,47
530,6.6667,19.6635,48
531,1.3333,2.1668,48
532,1.2273,0.8691,22
533,1.5217,3.5386,46
534,1.4286,2.9111,63
535,1.6667,2.3094,12
536,5.7573,87.4829,379
537,4.0429,19.4604,70
538,3.9841,14.8948,63
539,1.8947,5.3514,38
540,2.7792,11.5731,77
541,30.1412,260.1374,85
542,1.0149,0.1222,67
543,4.7451,34.6058,102
544,74.6774,571.6494,62
545,8.9825,57.0612,57
546,2.234,6.5116,47
547,4.1682,19.2302,107
548,1.0294,0.2425,68
549,52.9828,351.1021,58
550,2.4808,6.4731,52
551,1.0465,0.305,43
552,2.0588,6.1739,34
553,1,0,46
554,9.2239,63.2481,67
555,1,0,7
556,4.5543,30.8888,92
557,1.0541,0.3288,37
558,2.2381,6.4074,63
559,1.375,2.5663,144
560,1.5517,1.7026,29
561,1.9778,6.2613,45
562,1,0,23
563,1.1724,1.3131,58
564,1.1724,0.7592,29
565,4.3488,14.6432,43
566,1.5854,2.7016,41
567,1.0787,0.4579,89
568,19.72,93.6,25
569,2.3625,12.1866,80
570,4.75,14.6548,36
571,1.52,2.214,75
572,14.5593,103.491,59
573,1.1455,0.6212,55
574,1.3704,1.9245,27
575,1.4286,2.6958,56
576,1.1957,2.1539,184
577,1.7,2.6929,30
578,1,0,37
579,2.1,6.4799,40
580,11.1042,66.0819,48
581,4.9355,19.2301,31
582,1.2692,1.1735,52
583,1.0938,0.6354,64
584,1,0,16
585,1,0,31
586,1.2542,1.7079,59
587,1.3182,2.1106,44
588,1.2985,2.1035,67
589,1.0469,0.2777,64
590,1.0432,0.3408,162
591,2.0345,6.3411,58
592,1.0833,0.5774,48
593,1.0698,0.3377,43
594,1.0667,0.2523,45
595,1.1579,0.8229,38
596,1.3784,1.8311,37
597,1.0333,0.1826,30
598,2.4146,5.9371,41
599,1.7179,3.859,39
600,1.78,4.2248,50
601,1.2632,1.2178,57
602,1,0,12
603,6.3514,29.7426,37
604,1.8,3.348,45
605,1.0469,0.2777,64
606,1.2857,1.069,14
607,1,0,45
608,2.125,8.6235,64
609,1.125,0.648,40
610,1.2727,1.5667,33
611,1.2222,1.0636,45
612,6.6667,35.2243,39
613,1,0,17
614,1.5463,3.5319,108
615,1.5128,1.8191,39
616,2.1304,4.2458,46
617,1,0,12
618,11.0833,34.9297,12
619,1.7143,3.5886,28
620,1.0417,0.2887,48
621,3.119,10.9371,42
622,1.6792,3.8017,53
623,1.1818,0.9219,44
624,1.56,2.8,25
625,3,8.5147,37
626,1.0517,0.3939,58
627,2.0185,6.3558,54
628,2.0476,3.8252,42
629,2.859,9.4439,78
630,1.1429,0.7559,28
631,8.0385,35.6858,26
632,1.4839,2.5008,62
633,1.6545,2.5329,55
634,1.7143,4.0258,63
635,1.1129,0.889,62
636,1,0,28
637,1.8462,3.4374,26
638,1.0217,0.1474,46
639,2.619,8.507,63
640,1,0,59
641,1.0588,0.2425,17
642,1.0312,0.1768,32
643,1,0,146
644,1.3214,2.9459,84
645,1.1746,1.3859,63
646,1,0,25
647,1.0476,0.3086,42
648,1,0,49
649,1.2308,0.7104,26
650,1,0,10
651,1,0,29
652,1.7727,3.4077,22
653,1.1132,0.8242,53
654,2.9737,11.6723,38
655,1.3469,2.4286,49
656,1,0,9
657,1,0,15
658,1.2439,2.054,123
659,1,0,51
660,2.375,4.851,32
661,1,0,21
662,1.1579,0.8407,57
663,6.4615,22.76,26
664,1.0833,0.5,36
665,5.5128,28.0187,39
666,1,0,28
667,1,0,27
668,12.2162,68.2256,37
669,1,0,18
670,1,0,45
671,1,0,14
672,1.5,2.5303,42
673,1,0,38
674,1,0,27
675,1.0417,0.2019,48
676,1.75,4.3318,36
677,1,0,14
678,1.1111,0.5774,27
679,1.3269,2.3575,52
680,1,0,14
681,1,0,21
682,1.1111,0.4714,18
683,1.619,2.8368,21
684,1,0,29
685,1.2424,1.3926,33
686,1,0,35
687,1,0,48
688,1,0,66
689,1.1724,0.9285,29
690,1,0,35
691,1,0,38
692,1.0794,0.4509,63
693,1.2449,1.7143,49
694,1.3902,2.2009,41
695,1,0,25
696,1.3333,1.5275,21
697,1.1558,1.3675,77
698,1,0,15
699,1,0,39
700,1,0,26
701,1,0,32
702,7.5652,31.4857,23
703,1.4167,2.5,36
704,1,0,42
705,1,0,35
706,2.9667,7.636,30
707,1,0,22
708,3.1905,5.8704,21
709,1,0,7
710,1,0,17
711,2.5385,9.6077,39
712,1,0,36
713,1,0,31
714,1.2381,1.0911,21
715,1.2292,1.4475,48
716,1,0,23
717,1,0,30
718,1,0,48
719,4.2353,18.8648,34
720,1,0,9
721,1,0,42
722,1,0,20
723,1.1538,0.9608,39
724,1,0,30
725,1,0,26
726,1,0,8
727,5.1714,24.6785,35
728,1.463,3.2663,54
729,1,0,19
730,1,0,148
731,1,0,21
732,1.0526,0.2294,19
733,4.375,20.3944,40
734,1,0,15
735,1,0,21
736,27.6,157.3677,35
737,2.7778,10.6385,45
738,1,0,23
739,1,0,12
740,10.3333,22.0681,9
741,1,0,16
742,1.4231,2.1573,26
743,1.4286,2.5355,35
744,1,0,23
745,1,0,43
746,1,0,35
747,1,0,7
748,1,0,10
749,1,0,51
750,3.2105,9.6355,19
751,1,0,29
752,1,0,14
753,1.125,0.7071,32
754,1,0,32
755,1.2105,0.9177,19
756,1.45,2.0125,20
757,1,0,21
758,1.1053,0.5088,38
759,1,0,20
760,1,0,25
761,1.0233,0.1525,43
762,1,0,13
763,1.0333,0.1826,30
764,1,0,23
765,1,0,27
766,1,0,14
767,10.0526,55.8042,38
768,1,0,7
769,1,0,5
770,51.95,322.2361,40
771,1.1481,0.7698,27
772,1,0,32
773,1,0,25
774,1,0,37
775,1.0217,0.1474,46
776,1,0,18
777,1,0,15
778,1,0,36
779,1,0,46
780,1,0,9
781,1,0,30
782,1,0,25
783,1,0,24
784,1,0,15
785,1.0526,0.2294,19
786,1,0,11
787,1.0323,0.1796,31
788,1,0,24
789,1,0,24
790,1,0,27
791,1,0,21
792,1,0,19
793,1,0,24
794,1,0,15
795,1.6279,4.1175,43
796,1,0,22
797,1,0,68
798,1.0278,0.1667,36
799,1.0278,0.1667,36
800,1,0,10
801,1,0,37
802,1.0526,0.2263,38
803,1,0,18
804,1.0769,0.2774,13
805,1,0,21
806,1,0,13
807,1,0,19
808,1,0,16
809,1.0455,0.2132,22
810,1.0606,0.3482,33
811,1,0,31
812,1,0,26
813,1,0,22
814,1,0,25
815,1,0,23
816,1,0,13
817,1,0,14
818,1,0,8
819,1,0,20
820,1,0,33
821,1,0,14
822,1,0,29
823,1,0,10
824,1,0,24
825,1,0,12
826,1,0,16
827,1.04,0.2,25
828,1,0,20
829,1,0,26
830,1,0,31
831,1,0,21
832,1,0,25
833,1,0,35
834,1,0,12
835,1,0,37
836,1,0,13
837,1,0,8
838,1,0,31
839,1,0,17
840,1,0,10
841,1,0,30
