size,mean_output,sd_output,n
789,1181.058,962.565,3
790,624.2396,386.1972,2
791,195.5021,153.9395,2
793,742.3317,651.7731,2
794,631.1603,0,1
795,79.1459,0,1
796,1410.3654,142.2467,2
798,802.7994,0,1
799,1513.6263,1119.9127,2
801,621.9616,818.2866,2
802,982.6597,0,1
803,450.5539,60.7828,2
804,294.2159,203.9653,3
805,647.7782,863.7675,2
806,1329.3242,0,1
807,1266.1719,0,1
808,1271.3657,0,1
809,165.9308,0,1
810,733.552,505.0025,5
812,276.9475,0,1
813,711.4142,729.0004,3
814,489.7619,663.5409,3
815,813.6626,698.0751,5
816,562.1949,0,1
817,307.3797,281.0375,3
819,855.8227,75.4237,3
820,1322.5059,881.975,3
822,2220.9453,0,1
823,2635.2388,0,1
824,717.8132,472.0229,4
825,736.1538,317.8233,2
826,3633.7815,0,1
827,1053.6825,0,1
829,881.1043,0,1
830,94.1911,0,1
831,169.2177,0,1
833,1545.0687,832.71,2
834,688.1481,0,1
835,1116.363,767.5353,3
836,594.7918,743.0202,2
837,280.4821,372.2956,4
838,839.3333,732.733,6
840,112.1499,0,1
841,921.9503,0,1
842,914.063,423.9979,5
843,514.769,139.8799,2
844,1177.5304,0,1
845,625.9141,0,1
846,458.6177,0,1
847,66.5678,0,1
848,320.9042,0,1
849,918.2328,1212.037,3
851,613.5503,841.8091,2
852,929.277,0,1
853,704.0873,0,1
854,1477.3079,1157.9256,2
855,35.8742,0,1
856,274.7793,300.8054,2
857,534.6896,544.0523,2
858,32.5258,0,1
859,738.3542,0,1
860,436.4379,513.4517,3
861,1470.8436,544.1793,2
862,740.2114,0,1
863,656.2645,628.7164,3
864,1067.5499,0,1
865,558.4978,591.1478,3
866,725.882,0,1
867,992.8411,1124.0767,2
868,562.89,356.4499,3
869,120.5352,0,1
870,371.0742,0,1
871,547.538,393.6179,4
872,793.1084,1000.915,2
873,675.033,833.3954,2
874,435.8278,0,1
875,51.4637,0,1
877,745.9311,825.9791,2
878,219.5964,0,1
879,873.035,621.9492,3
880,120.2193,0,1
881,396.8055,0,1
882,112.2515,154.7649,2
883,528.6084,429.4054,4
884,1500.5148,0,1
886,1571.801,0,1
887,957.4213,0,1
888,1364.1637,0,1
889,462.666,424.075,2
890,1669.5976,2018.8438,2
892,539.59,0,1
894,146.3324,0,1
895,1008.844,399.0596,3
896,1150.0215,0,1
900,1393.5654,0,1
901,1118.1125,1011.2841,3
902,292.5015,170.5989,3
903,2139.3718,0,1
904,1337.0789,0,1
905,77.7349,0,1
907,1399.8765,142.2535,2
910,931.9861,790.7833,3
911,718.6645,1048.0847,6
912,152.8258,0,1
914,1215.7828,0,1
915,934.8433,0,1
916,1708.1119,0,1
917,666.5917,0,1
918,38.3998,0,1
919,1043.2391,0,1
920,726.4713,21.9749,2
922,1176.4112,666.9941,4
924,212.3793,35.8083,2
926,882.5932,691.8244,3
928,593.9834,563.7493,2
929,1841.4929,922.9114,2
930,1464.604,0,1
931,387.7516,0,1
932,1129.9996,1081.1787,4
935,631.0789,0,1
936,1847.3121,0,1
937,722.4575,0,1
938,2377.9719,0,1
941,1095.4304,852.0048,3
942,720.8781,574.4291,3
946,397.2283,550.6318,4
947,376.9222,0,1
948,1160.025,1306.0054,2
949,226.4894,89.7389,2
950,596.1322,0,1
951,621.4671,855.3977,2
952,1427.4636,170.8137,2
953,1224.0566,378.0552,2
954,793.9985,115.9837,2
955,752.9327,805.8288,2
956,956.9598,24.2778,2
957,188.6283,0,1
958,1438.8,0,1
959,941.0407,1159.5024,4
960,602.2196,757.9714,2
961,1233.2012,0,1
962,1076.9197,1148.678,2
964,750.8068,66.7999,2
965,200.5178,133.6627,2
967,1190.9868,743.2383,3
968,65.7304,0,1
969,621.0564,477.6216,2
970,1336.9343,515.431,3
971,929.7809,0,1
972,379.7969,141.1518,2
975,570.1925,0,1
976,644.141,0,1
977,1748.7094,586.7746,2
979,1331.9661,0,1
980,2003.8839,189.2446,2
982,27.1952,0,1
985,167.9801,0,1
986,467.3844,216.0995,4
988,1021.9074,1082.7803,3
989,454.4853,0,1
991,298.4515,186.9752,2
992,644.7303,791.0771,2
993,287.4636,334.0633,3
994,2362.1926,0,1
995,183.8854,0,1
996,932.282,1297.6072,2
997,746.0837,0,1
999,638.9654,193.8744,2
1001,3134.7356,0,1
1002,452.336,391.8629,2
1005,1279.2009,0,1
1006,567.2618,143.0495,2
1008,1138.7573,1545.3788,2
1009,1141.795,1215.3807,2
1012,1417.7332,0,1
1016,346.893,35.1038,2
1018,1622.2603,0,1
1019,1128.1996,438.7314,2
1022,824.6068,0,1
1023,352.8032,0,1
1025,1250.7086,665.3817,3
1026,1609.8981,0,1
1027,647.6676,536.3668,3
1029,209.6529,0,1
1030,2856.0664,0,1
1031,1506.0146,0,1
1033,389.1572,0,1
1034,2400.7117,0,1
1036,57.8405,0,1
1037,787.3632,0,1
1039,1685.443,0,1
1040,263.2447,0,1
1041,908.8438,0,1
1042,4150.2959,0,1
1043,507.6085,460.181,2
1045,391.837,0,1
1051,1248.4851,864.8131,2
1052,596.6778,0,1
1053,92.5125,0,1
1054,68.4113,0,1
1057,1743.049,2079.1917,2
1058,660.7288,294.9743,2
1059,1331.2529,0,1
1062,251.9895,0,1
1064,1075.8193,0,1
1065,958.4173,0,1
1067,1930.4281,0,1
1068,1228.9136,0,1
1069,55.8168,0,1
1071,2656.2904,282.4891,2
1072,589.0425,0,1
1073,2013.1295,657.4107,2
1074,1169.0034,1042.4995,3
1075,2080.0935,0,1
1077,1491.5995,351.7568,2
1078,1077.559,0,1
1079,2675.8549,1475.9805,2
1080,597.7344,530.153,6
1081,1225.2137,319.7193,2
1082,574.0038,146.5756,2
1083,3677.4634,14.9397,2
1084,1804.686,631.0053,2
1085,425.833,349.4331,3
1086,128.5889,0,1
1089,1241.515,593.1639,2
1090,622.6954,0,1
1091,376.8785,360.1607,2
1092,712.204,612.2141,2
1093,1071.0563,513.6491,5
1095,453.2776,0,1
1097,304.5015,0,1
1098,932.0381,0,1
1099,1169.2114,0,1
1100,1214.6602,1178.8273,4
1104,1230.5752,0,1
1105,155.9518,0,1
1107,3212.1243,0,1
1109,1965.8533,0,1
1110,1623.6191,123.1642,2
1111,93.9659,0,1
1115,2971.9229,0,1
1118,192.5886,0,1
1119,217.752,0,1
1120,1809.7949,1211.6377,3
1121,1998.2465,2707.1021,2
1123,677.7656,540.9262,2
1124,1542.3945,946.4708,3
1128,3050.7505,0,1
1129,2642.6456,840.9954,2
1132,1621.634,0,1
1135,2320.6644,731.4127,2
1136,1102.4624,1241.7122,2
1139,485.3484,0,1
1140,455.3858,22.3003,3
1141,492.3541,260.9323,2
1142,205.3938,0,1
1143,761.7181,228.7367,2
1144,958.1833,677.6261,2
1146,570.4708,0,1
1147,154.4263,0,1
1148,2472.3621,0,1
