size,mean_age,sd_age,n
863,109.3333,54.8847,3
864,103,0,1
865,222.6667,204.0425,3
866,136,0,1
867,82.5,38.8909,2
868,92.3333,26.6521,3
869,176,0,1
870,113,0,1
871,89.75,30.3026,4
872,132,106.066,2
873,89.5,48.7904,2
874,113,0,1
875,160,0,1
877,145.5,34.6482,2
878,92,0,1
879,131,17.088,3
880,282,0,1
881,126,0,1
882,168.5,98.2878,2
883,125.25,51.6228,4
884,102,0,1
886,75,0,1
887,57,0,1
888,63,0,1
889,98.5,47.3762,2
890,137,4.2426,2
892,79,0,1
894,163,0,1
895,128.6667,22.0303,3
896,87,0,1
900,58,0,1
901,114.6667,26.3122,3
902,213,161.1676,3
903,462,0,1
904,63,0,1
905,108,0,1
907,120.5,21.9203,2
910,77.3333,31.2143,3
911,102,61.589,6
912,140,0,1
914,46,0,1
915,126,0,1
916,72,0,1
917,108,0,1
918,346,0,1
919,103,0,1
920,170,52.3259,2
922,174.75,150.7302,4
924,138.5,3.5355,2
926,140,36.1663,3
928,87.5,27.5772,2
929,72,21.2132,2
930,72,0,1
931,235,0,1
932,281,304.4843,4
935,93,0,1
936,80,0,1
937,385,0,1
938,72,0,1
941,110,28.6182,3
942,115.3333,52.6909,3
946,222.25,130.0087,4
947,84,0,1
948,152.5,50.2046,2
949,101,36.7696,2
950,110,0,1
951,142.5,106.7731,2
952,101,9.8995,2
953,68.5,0.7071,2
954,120,22.6274,2
955,157,11.3137,2
956,82.5,12.0208,2
957,156,0,1
958,68,0,1
959,113.75,77.7062,4
960,117,55.1543,2
961,92,0,1
962,91,0,2
964,124.5,4.9497,2
965,147,77.7817,2
967,100.6667,17.673,3
968,132,0,1
969,232.5,157.6848,2
970,143,87.43,3
971,99,0,1
972,114.5,12.0208,2
975,464,0,1
976,85,0,1
977,85.5,41.7193,2
979,259,0,1
980,173,195.1615,2
982,202,0,1
985,130,0,1
986,106.5,35.1141,4
988,200.6667,114.3693,3
989,207,0,1
991,132,7.0711,2
992,112.5,99.7021,2
993,262.3333,140.607,3
994,125,0,1
995,121,0,1
996,102.5,28.9914,2
997,94,0,1
999,107,15.5563,2
1001,270,0,1
1002,186.5,14.8492,2
1005,81,0,1
1006,91,0,2
1008,135.5,91.2168,2
1009,128.5,7.7782,2
1012,92,0,1
1016,100,15.5563,2
1018,277,0,1
1019,100.5,38.8909,2
1022,117,0,1
1023,141,0,1
1025,168.6667,86.4947,3
1026,99,0,1
1027,218,104.6136,3
1029,102,0,1
1030,40,0,1
1031,173,0,1
1033,101,0,1
1034,94,0,1
1036,201,0,1
1037,264,0,1
1039,106,0,1
1040,90,0,1
1041,62,0,1
1042,37,0,1
1043,111.5,30.4056,2
1045,160,0,1
1051,270.5,200.1112,2
1052,67,0,1
1053,398,0,1
1054,113,0,1
1057,83.5,27.5772,2
1058,80.5,21.9203,2
1059,219,0,1
1062,124,0,1
1064,125,0,1
1065,70,0,1
1067,110,0,1
1068,220,0,1
1069,472,0,1
1071,65,0,2
1072,107,0,1
1073,146,9.8995,2
1074,116,56.0268,3
1075,64,0,1
1077,85,65.0538,2
1078,115,0,1
1079,118.5,91.2168,2
1080,99.8333,37.8862,6
1081,146.5,23.3345,2
1082,245,113.1371,2
1083,67,5.6569,2
1084,66.5,6.364,2
1085,123.6667,31.5013,3
1086,158,0,1
1089,71.5,2.1213,2
1090,102,0,1
1091,252,212.132,2
1092,138.5,61.5183,2
1093,165.2,166.103,5
1095,138,0,1
1097,113,0,1
1098,76,0,1
1099,99,0,1
1100,121.25,36.6731,4
1104,65,0,1
1105,129,0,1
1107,46,0,1
1109,63,0,1
1110,129.5,91.2168,2
1111,182,0,1
1115,38,0,1
1118,144,0,1
1119,207,0,1
1120,88.6667,32.8684,3
1121,114.5,109.6016,2
1123,262.5,273.6503,2
1124,138,35,3
1128,54,0,1
1129,56,12.7279,2
1132,62,0,1
1135,169.5,103.9447,2
1136,104.5,65.7609,2
1139,118,0,1
1140,216,163.0092,3
1141,93.5,38.8909,2
1142,120,0,1
1143,113,39.598,2
1144,90,39.598,2
1146,99,0,1
1147,121,0,1
1148,325,0,1
1151,48,0,1
1153,248,0,1
1154,144,121.6224,2
1158,112,63.6396,2
1161,69,15.5563,2
1163,189,67.8823,2
1164,82.5,12.0208,2
1165,261,0,1
1167,207,98.9949,2
1168,180,0,1
1170,76,18.3848,2
1171,89,0,1
1173,164.5,68.5894,2
1175,72,0,1
1176,98.5,41.7193,2
1177,118,4.2426,2
1179,96,0,1
1182,99,0,1
1183,178,0,1
1185,200,0,1
1186,137,73.5391,2
1190,139,0,1
1193,89,29.6985,2
1195,63.5,7.7782,2
1197,92,28.6182,3
1198,97.5,54.4472,2
1200,110,0,1
1201,94,0,1
1202,120,0,1
1203,133,0,1
1205,172,0,1
1207,78,9.8995,2
1208,78.3333,31.6439,3
1209,133,0,1
1210,273,0,1
1212,123,46.669,2
1216,223,0,1
1221,209.5,190.2117,2
1222,119,0,1
1224,175,0,1
1225,143,0,1
1234,158,0,1
1237,110,2.8284,2
1239,78,0,1
1240,441,0,1
1241,66,0,1
1243,166,75.4586,5
1245,107.5,26.163,2
1248,62,0,1
1250,115,21.9317,3
1252,101,0,1
1253,222,0,1
1254,83,45.2548,2
1256,89,0,1
1263,62.5,3.5355,2
1264,84,0,1
1265,82,0,1
1266,352.5,92.631,2
1268,89,0,1
1270,160,0,1
1271,89,0,1
1274,80,0,1
1275,80,0,1
1278,75,0,1
1280,81,0,1
1281,236,0,1
1283,170,0,1
1284,65,0,1
1285,94,11.3137,2
1287,97,0,1
1290,260,0,1
1294,118,16.9706,2
1298,105.5,43.1335,2
1299,61.5,41.7193,2
1302,68,0,1
1304,80,7.0711,2
1305,98,28.284300000000002,2
1306,86,0,1
1309,142.3333,62.0672,3
1320,118,0,1
1322,113,0,1
1324,152.5,50.2046,2
1326,70,0,1
1327,301.5,183.1407,2
1328,103,0,1
1331,56,0,1
1332,133,0,1
1333,58,0,1
1334,51,5.6569,2
1335,113,0,1
1337,130.5,38.8909,2
1339,138.5,45.9619,2
1340,177,0,1
1341,107,0,1
1343,235,0,1
1345,88,0,1
1349,124,63.6396,2
1351,130,0,1
1355,126.6667,13.0512,3
1356,170,0,1
1361,173,0,1
1362,165,0,1
1363,66,0,1
1366,148,0,1
1367,133,0,1
1368,322,0,1
1371,73,0,1
1376,223,0,1
1378,139,0,1
1381,127,0,1
1382,42,0,1
1383,130,0,1
1384,70,0,1
1387,118,0,1
1388,206,67.8823,2
1393,59,0,1
1394,51,0,1
1395,265,0,1
1396,63,0,1
1398,326,0,1
1399,156,0,1
1401,63,0,1
1405,68,0,1
1408,289,0,1
1411,71,0,1
1414,95,0,1
1415,113,0,1
1416,274,0,1
1419,90,0,1
1422,76,0,1
1423,143.5,37.4767,2
1427,201,0,1
1428,160,0,1
1430,274,0,1
1433,85,0,1
1434,145,0,1
1435,113,0,1
1440,83.6667,36.6652,3
1442,62,0,1
1443,123,0,1
